公司名称, 联系电话, 联系传真, 地　　址, 企业相关,,,,,
百善(唐山)药业有限公司,,,河北省迁安市兆康街188号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
黑龙江鼎恒升药业有限公司,0452-2442173 2441786 2428778 　,,齐齐哈尔龙华路92号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
唐山市龙山药业有限公司,0315-7613828,0315-7613359,河北省迁安市丰安大路东侧,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
哈高科佳木斯中药有限公司,0454-8783768,0454-8783768,黑龙江省佳木斯市前进区中山街南段531号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
唐山心合制药有限公司,0315-6663928, ,河北省遵化市通华西街工业区,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
广州市花城制药厂,020-87487899,020-87487899,广州市白云区钟落潭镇佛田北路,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
武汉中联药业集团四药药业股份有限公司,,,,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
齐齐哈尔参鸽药业有限公司,0452-2552152,0452-2552152 2552650,黑龙江省齐齐哈尔市建华区军校街军民胡同1号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
广州白云山和记黄埔中药有限公司,020-87200853,,广东省广州市白云区沙太北路389号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
武汉健民大鹏药业有限公司,027-82807979 82804641,027-82809566,湖北省武汉市江岸区汉口沿江大道152号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
清远东方之子制药有限公司,020-87512600,020-38480121,清远市生物医药城九号区,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
河北冀衡(集团)药业有限公司,（0318）2120491 2160507　,（0318）2167985,河北省衡水市建设大街368号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
汕头市时代制药有限公司,0754-5723364,,汕头市中山北路新工业区,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
黑龙江省松花江药业有限公司,0451-7673615,,黑龙江省哈尔滨市太平区南直路485号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
广州敬修堂(药业)股份有限公司,020-81884686,81889576,-81864418,广州市人民南路179号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,
阜新蒙药有限责任公司,15542894118,,辽宁省阜新蒙古族自治县繁荣大街北段,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
内蒙古库伦蒙药厂,0475-4912898,0475-4912898,内蒙古通辽市库伦旗库伦镇,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
内蒙古大唐药业有限公司,0471-4613535,4613131,0471-4611130,内蒙古呼和浩特市如意开发区远五纬路,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,
内蒙古奥特奇蒙药股份有限公司(金山)蒙药厂,,,,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
广东莱达制药有限公司,0754-83830306  83603157 ,0754-83604018,广东省汕头市潮阳区广汕公路西岩山西侧,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
四川天誉制药有限公司,,,四川省江油市河西,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
湖北御金丹药业有限公司,0712-2511788  2511765 ,0712-2511766     ,湖北省孝感市孝南区南大工业园 ,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
安徽省雪枫药业有限公司,0557-4087866    4081137,0557-4081131       ,安徽省宿州市符离镇中华路14号  ,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
 广西方略集团龙州制药有限公司,,,广西龙州县龙州镇独山路159号广西崇左市城市工业园区,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
上海上联药业有限公司,,,上海市青浦区赵巷镇沪青平公路3500号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
温州海鹤药业有限公司,0577-88781224 86072222 88782501,0577-86559835 88762779,浙江省温州市温金公路135号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
江西桔王药业有限公司,0794-3266988 3266966,0794-3266889,江西省抚州市南丰县富溪工业园区,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
广西万通制药有限公司,0771-3843100  3853895,（0771）3172256,广西南宁市永新区中尧南路东二里16号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
桂林红会制药厂,0773-6813263 、6812663,,灵川县城城北路,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
大连美罗中药厂有限公司,0411-84798859,0411-84790777,辽宁省大连市高新园区敬贤街18号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
惠州九惠药业有限公司,0752-2502999,0752-2528800,广东省惠州市惠城区南岸路,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
安徽省陇海制药厂,0557-5022545,0557-5029591,安徽省萧县交通路248号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
广西千方药业有限公司,0773-4826451,0773-4826451,广西桂林市全州县工业开发区38号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
四川蜀中制药有限公司,0838-5106607、5106609 5102218,0838-5850592,四川省广汉市中山大道南四段蜀中制药,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
长春德医堂抗肿瘤药品大药房,400-701-0001,0431-86900670,长春市朝阳区桦甸街科技新村5号103,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
上海雷允上药业有限公司,021-34083289,021-63502061,汉口路398号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
山西普德药业有限公司,0352-6108539 6108222,0352-6108555,山西省大同市经济技术开发区湖滨大街55号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
辽宁倍奇药业有限公司,0415-6227179,0415-6225058,辽宁省丹东市边境经济合作区江湾工业区B区,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
海南灵康制药有限公司,0571-87025761 87076395,0571-87076995,海口市保税区八号厂房,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
陕西博森生物制药股份集团有限公司,029-88889678 85691383,2988889664,陕西省西安市长安区长安科技园创新路7号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
威海赛洛金药业有限公司,0631-5691988 5685676,0631-5685591,山东省威海市高区科技路,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
吉林省天赐堂药业有限公司,0431-82742666,0431-82742777,吉林省长春市南京大街45号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
山东绿因药业有限公司,0539-8288666 8288202,0539-8288106,山东省临沂市罗庄区高新技术产业开发区火炬路17号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
吉林省大峻药业股份有限公司,0435-8213099,0435-8213099,吉林省辉南县朝阳镇富裕路8号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
长春海外制药集团有限公司,0431-85179888,0431—86766191,吉林省长春市高新技术开发区海外街1号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
北京华神制药有限公司,010-84811275,010-84845220,昌平区东小口镇东小口中滩110号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
北京同仁国药医药有限公司,010-67639991 ,010-67654626 ,北京市丰台区东铁匠营贾家花园甲2号 ,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
北京同仁堂股份有限公司同仁堂制药厂,010-67025631,010-60213491,北京市大兴区福海路,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
北京嘉事大恒制药有限公司,,,北京市顺义区中北工业区（北石槽镇）,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
吉林天强制药有限公司,0435-6944899 7321288,0435-7336777,吉林省柳河县人民大街309号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
湖北天力医药有限公司,027-59729797、59729789、59729700、59729711、59729722,027-59729789,武汉市武珞路街道口南路６－１８号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
上海玉安药业有限公司,2127456093,2168660583,上海浦东行南路417号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
广西昌弘制药有限公司,0771-4015607 4015388,0771-4018367,广西南宁市良庆区沿海经济开发区建业路68号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
石家庄乐仁堂制药有限责任公司,0311-87753290,0311-87755661,河北省石家庄市新华区中华北大街226号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
陕西香菊制药有限责任公司,0914-2313146 2382990,0914-2313146,陕西省商洛市商州区香菊路,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
天津飞鹰制药有限公司,022-82129593,,天津市武清开发区福源道25号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
北京长城制药厂,010-64896615,64895926,64978715,64977825,010-64895269,北京市丰台区西四环南路63号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,
福建建东药业有限公司,0595-87066162,0595-87065666,福建省泉州市泉港区涂岭路口93号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
吉林紫鑫药业股份有限公司,0435-7210408,0448-7210494,吉林省通化市柳河县柳河镇英利路88号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
广东宝丹制药有限公司,0752-6106629,0752-6633263 ,广东省惠州市博罗县公庄镇,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
吉林吉春制药股份有限公司,0434-5763819 5763801,0434-5760868,吉林省四平市梨树县石岭子镇东哈福村,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
天津药业集团新郑股份有限公司,0371-86509780,0371 62699662,新郑市解放路,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
成都天银制药有限公司,028-86130304 86123630 88430213,028-86136592,成都市锦里西路107号锦江时代花园南十一层,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
西藏雄巴拉曲神水藏药厂,024-81721791,024-24124057,西藏拉萨市堆龙德庆县乃琼镇雄巴拉曲,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
西藏神猴药业有限责任公司(西藏聂拉木藏药厂),0791-83322702,0791-88596817,江西省南昌市南京西路215号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
甘南佛阁藏药有限公司,0941-8253381,0941-8253868 ,甘肃省甘南自治州合作市人民西街398号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
西藏自治区藏药厂,0891-6813363,0891-6827197,中国西藏拉萨市娘热路23号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
龙晖药业有限公司,0452-6926501/6926503,0452-6926500,黑龙江省齐齐哈尔富拉尔基区工农街,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
广东一片天医药集团制药有限公司, 0662-7707218 7706020  ,0662-7706060,广东省阳春市站港路民营工业区 ,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
广东罗浮山国药股份有限公司,0752-6869068 6869222 6869223,0752-6869223,广东 惠州 -博罗县 罗浮山药业城 ,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
四川德元药业集团有限公司,0832-2080860 2025098,0832-2082713 ,中国·四川·内江市市中区壕子口路518号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
广东罗定制药有限公司(原名:广东罗定制药厂),（0766）3763881 3723390,（0766）3723921,广东省罗定市泷江路180号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
湖南湘雅同升医药有限公司,0731-82840355    ,0731-82840353    ,湖南省长沙市岳麓大道415号503室,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
山西亨瑞达制药有限公司,0357-3050225,0357-305238,山西省临汾市机场路（南机场）,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
山西省恒山中药有限责任公司,0357-3502003(销售) 3502006（质量）,0357-3502018,山西省侯马经济技术开发区文明路585号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
四川亚宝光泰药业有限公司,028-83753077,028-87797618,四川省彭州市工业开发区天府东路,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
哈药集团三精黑河药业有限公司,0456-8269887,0451-84591008,黑龙江省黑河市黑大路药厂街8号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
武汉健民集团随州药业有限公司,0722-3587218,0722-3587218,湖北省随州市经济技术开发区,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
中山市恒生药业有限公司,0760-88559938,(86)0760-8558877,广东省中山市西区广丰工业大道3号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
鹤壁市中药有限公司,0392-2437969 0392-2400162,0392-2400108,鹤壁市鹤浚路中段,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
上海汉殷药业有限公司,021-65952236 63074854,021-65955010,上海市虹口区天潼路133号上海家化大厦9层,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
通城县中药材公司,13995573274,,武汉,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
北京恒生药业有限公司,010-85396666 ,010-85392161,北京市朝阳区黑庄户乡大东路6号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
云南白药集团大理药业有限责任公司,0872-2225276 2280767,0872-2280767,云南省大理自治州大理市人民北路67号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
湖南新汇制药有限公司,0731-88056888   ,0731-88056822   ,湖南长沙市望城高科技食品工业园,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
北京双桥制药公司,010-85393719 85390556 85390587 65895529 65892634,010-85393719,北京市朝阳区双桥东路1号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
沈阳克达药业有限公司,024-25524658、25524668,024-25520399,沈阳市铁西区重工北街32号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
遵义百花药业有限公司,0852-8603460,0852-8603489,贵州省遵义市凤凰南路文庙巷1号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
昆明兴中制药有限责任公司,0871-5195450 5148726,0871-5148726 5195450,云南省昆明市五华区教场东路168号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
云南白药集团股份有限公司,0871-8350538 8008895599,0871-8324169,昆明二环西路222号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
昆明云健制药有限公司,0871-8242860,0871-8240824,云南昆明市大观路下段明波280号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
昆明贝克诺顿制药有限公司,0871-8183130,0871-8183578 8196260,云南省昆明市高新技术产业开发区西郊七公里,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
湖南飞鸽药业有限公司,0731-58550711   ,0731-58550716   ,湖南省湘潭市岳塘区双马工业园1号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
云南植物药业有限公司,86-871-8413082,86-871-8411447　,昆明市西郊车家壁,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
正大青春宝药业有限公司,0571-85121024,0571-85152635,浙江省杭州市西湖区西溪路551号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
朝阳富祥药业有限公司,024-81963996,,辽宁省朝阳市中山大街二段22号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
长春银诺克药业有限公司,0431-82811229,0431-82565601,长春市九台经济开发区群英大路888号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
沈阳绿洲制药有限责任公司,024-23994850 23892728,024-23892728,辽宁省沈阳市沈河区青年大街165-9号金廊广场A座19层,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
陕西君寿堂制药有限公司,029-33686933,029-33214430 ,陕西省咸阳市秦都区西兰路129号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
内蒙古宇航人药业有限责任公司,0471-4610329  13314877337,0471-7392954 ,中国内蒙古呼和浩特市如意开发区1纬路10号,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
上海现代哈森(商丘)药业有限公司,0370-2953918,0370-2953918,河南省商丘市永安街12号  ,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
山西汾河制药有限公司,0357-3125689 ,0357-3125689 ,山西省临汾市解放东路东王,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
浙江得恩德制药有限公司,021-58783570,021-58753595,上海市浦东新区荣成路85弄2-18A,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
广东嘉应制药股份有限公司,0753-6133068,0753-2321248,广东省梅州市东升工业园b区,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
广东台城制药股份有限公司,0750-5627138,0750-5627000,广东省台山市北坑工业园,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
广东联康药业有限公司,0753-3350339、3350297,0753—3350580,广东省梅州市兴宁市兴合线叶塘段产业转移工业园,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
广东一力集团制药有限公司,020-87063479 87060226,020-87063479 87061855,广东省四会市凤山路,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
四川国瑞药业有限责任公司,（0833）4251020 ,（0833）4254990,四川省犍为县玉津镇凤凰路北段,供应信息　招商信息　企业产品价格　我要询盘  5000 ,,,,,
